Cscore,Cases,Value
17,1,-3.46436
19,1,-3.15735
20,3,-2.90161
21,2,-2.72827
22,5,-2.57309
23,5,-2.42317
24,6,-2.30408
25,9,-2.18109
26,13,-2.04506
27,13,-1.92173
28,25,-1.78169
29,24,-1.64101
30,29,-1.5184
31,41,-1.38502
32,39,-1.25773
33,49,-1.13788
34,55,-1.0145
35,55,-0.89891
36,69,-0.78155
37,81,-0.65253
38,77,-0.52745
39,87,-0.40581
40,97,-0.27607
41,99,-0.14277
42,105,-0.00665
43,90,0.12331
44,111,0.25953
45,111,0.41594
46,113,0.58489
47,95,0.7583
48,95,0.93949
49,76,1.13407
50,47,1.30612
51,43,1.46191
52,34,1.63088
53,28,1.81175
54,27,2.04506
55,13,2.33337
56,8,2.63199
57,3,3.00537
59,1,3.46436
