Nscore,Cases,Value
12,1,-3.46436
13,1,-3.15735
14,7,-2.75696
15,4,-2.52197
16,3,-2.42317
17,4,-2.3436
18,10,-2.21844
19,16,-2.05048
20,24,-1.86962
21,31,-1.69163
22,26,-1.55078
23,29,-1.43907
24,35,-1.32828
25,56,-1.1943
26,57,-1.05308
27,65,-0.92104
28,70,-0.79151
29,60,-0.67825
30,61,-0.58016
31,87,-0.46725
32,78,-0.34799
33,68,-0.24649
34,76,-0.14882
35,69,-0.05188
36,73,0.04257
37,67,0.13606
38,63,0.22393
39,66,0.31287
40,80,0.41667
41,61,0.52135
42,77,0.62967
43,49,0.73545
44,51,0.82562
45,37,0.91093
46,67,1.02119
47,27,1.13281
48,49,1.23461
49,40,1.37297
50,24,1.49158
51,27,1.60383
52,17,1.72012
53,20,1.8399
54,15,1.98437
55,11,2.127
56,10,2.28554
57,6,2.46262
58,3,2.61139
59,5,2.82196
60,2,3.27393
