Oscore,Cases,Value
24,2,-3.27393
26,4,-2.8595
28,4,-2.63199
29,11,-2.39883
30,9,-2.21069
31,9,-2.09015
32,13,-1.97495
33,23,-1.82919
34,25,-1.68062
35,26,-1.55521
36,39,-1.42424
37,51,-1.27553
38,64,-1.11902
39,60,-0.97631
40,68,-0.84732
41,76,-0.71727
42,87,-0.58331
43,86,-0.45174
44,101,-0.31776
45,103,-0.17779
46,134,-0.01928
47,107,0.14143
48,116,0.29338
49,98,0.44585
50,83,0.58331
51,87,0.7233
52,87,0.88309
53,81,1.06238
54,57,1.24033
55,63,1.43533
56,38,1.65653
57,34,1.88511
58,19,2.15324
59,13,2.44904
60,7,2.90161
